gene type,lifespan bin,set similarity,bin similarity,# species in bin,# sequences in bin,similarity diff
BIRC2,(0-15),0.13046894356525918,0.11952485407515197,87,393,-0.010944089490107209
BIRC2,(15-30),0.13046894356525918,0.13767179307716207,124,572,0.007202849511902892
BIRC2,(30-60),0.13046894356525918,0.1429389688449673,80,404,0.012470025279708113
BIRC2,(60-100),0.13046894356525918,0.16740447610024062,13,68,0.03693553253498144
BIRC2,(100-250),0.13046894356525918,0.22274712318430476,3,20,0.09227817961904558
GBX2,(0-15),0.3105819025685554,0.29708867506152536,79,94,-0.013493227507030026
GBX2,(15-30),0.3105819025685554,0.301733852979264,114,132,-0.008848049589291418
GBX2,(30-60),0.3105819025685554,0.3462035791634712,75,97,0.03562167659491583
GBX2,(60-100),0.3105819025685554,0.36410440613026834,11,14,0.05352250356171295
GBX2,(100-250),0.3105819025685554,0.3740421455938697,2,4,0.06346024302531433
ZNF550,(0-15),0.12566765834445892,0.10502185803202864,51,170,-0.020645800312430282
ZNF550,(15-30),0.12566765834445892,0.13132601933009766,134,841,0.0056583609856387385
ZNF550,(30-60),0.12566765834445892,0.12342407872855929,84,815,-0.0022435796158996324
ZNF550,(60-100),0.12566765834445892,0.17633103188258395,13,68,0.05066337353812503
ZNF550,(100-250),0.12566765834445892,0.16670891935846668,3,34,0.04104126101400776
ZNF852,(0-15),0.1965426022201542,0.18681692323585944,37,67,-0.009725678984294772
ZNF852,(15-30),0.1965426022201542,0.19773077929280436,114,245,0.0011881770726501484
ZNF852,(30-60),0.1965426022201542,0.22109309116269987,75,191,0.024550488942545662
ZNF852,(60-100),0.1965426022201542,0.26086719046946427,11,25,0.06432458824931006
ZNF852,(100-250),0.1965426022201542,0.32029037309368885,3,9,0.12374777087353464
SUMO1,(0-15),0.2971633311127321,0.2899755124572777,86,113,-0.00718781865545437
SUMO1,(15-30),0.2971633311127321,0.29141067601807685,133,180,-0.0057526550946552235
SUMO1,(30-60),0.2971633311127321,0.31690971529976575,84,140,0.019746384187033672
SUMO1,(60-100),0.2971633311127321,0.364262063072445,13,19,0.06709873195971294
SUMO1,(100-250),0.2971633311127321,0.375,3,6,0.07783666888726792
CEBPB,(0-15),0.2758651582007645,0.2790502148886456,59,69,0.003185056687881105
CEBPB,(15-30),0.2758651582007645,0.2861392198796403,99,117,0.01027406167887579
CEBPB,(30-60),0.2758651582007645,0.2821358858457727,72,90,0.0062707276450081895
CEBPB,(60-100),0.2758651582007645,0.3193339227821977,11,15,0.04346876458143317
CEBPB,(100-250),0.2758651582007645,0.3714080459770115,2,3,0.09554288777624698
RREB1,(0-15),0.2334865162582196,0.2180115448756771,87,293,-0.015474971382542502
RREB1,(15-30),0.2334865162582196,0.24020095518571077,128,446,0.006714438927491184
RREB1,(30-60),0.2334865162582196,0.25564056526455925,77,307,0.02215404900633966
RREB1,(60-100),0.2334865162582196,0.27455975250092296,12,48,0.04107323624270337
RREB1,(100-250),0.2334865162582196,0.3267899073965246,2,12,0.09330339113830499
IER2,(0-15),0.26863086507541356,0.22684613877433535,79,91,-0.04178472630107821
IER2,(15-30),0.26863086507541356,0.27966889866518735,133,156,0.011038033589773788
IER2,(30-60),0.26863086507541356,0.31028021420220814,81,104,0.04164934912679458
IER2,(60-100),0.26863086507541356,0.35399564092521046,13,17,0.0853647758497969
IER2,(100-250),0.26863086507541356,0.37380418535127063,2,5,0.10517332027585707
ZNF134,(0-15),0.10937674243394359,0.11874377356087212,80,496,0.009367031126928535
ZNF134,(15-30),0.10937674243394359,0.10526754719724368,136,1611,-0.004109195236699906
ZNF134,(30-60),0.10937674243394359,0.11862153754374861,85,1398,0.009244795109805026
ZNF134,(60-100),0.10937674243394359,0.14404043759025018,13,215,0.03466369515630659
ZNF134,(100-250),0.10937674243394359,0.1525392346391293,3,123,0.04316249220518571
TAL1,(0-15),0.24884519108534092,0.25592771117978597,76,88,0.007082520094445044
TAL1,(15-30),0.24884519108534092,0.24163119807657502,103,119,-0.0072139930087659065
TAL1,(30-60),0.24884519108534092,0.2877321956502837,68,83,0.03888700456494276
TAL1,(60-100),0.24884519108534092,0.29526854659597945,10,13,0.04642335551063853
TAL1,(100-250),0.24884519108534092,0.37035642570281124,1,3,0.12151123461747032
RECQL5,(0-15),0.17006017117291303,0.1692144673182825,90,207,-0.0008457038546305362
RECQL5,(15-30),0.17006017117291303,0.17453486517122127,132,308,0.0044746939983082434
RECQL5,(30-60),0.17006017117291303,0.1836237020536645,84,216,0.013563530880751462
RECQL5,(60-100),0.17006017117291303,0.22606783644742617,12,30,0.056007665274513146
RECQL5,(100-250),0.17006017117291303,0.2900773629330645,2,10,0.12001719176015149
FOXR1,(0-15),0.21127532286169837,0.17481701742797434,80,90,-0.036458305433724025
FOXR1,(15-30),0.21127532286169837,0.2269817635464716,127,147,0.015706440684773226
FOXR1,(30-60),0.21127532286169837,0.24995246147302633,82,106,0.03867713861132796
FOXR1,(60-100),0.21127532286169837,0.2706573005184115,12,16,0.05938197765671316
FOXR1,(100-250),0.21127532286169837,0.37292377701934015,2,5,0.16164845415764179
CERS5,(0-15),0.25799214327224124,0.23671749944924045,90,202,-0.02127464382300079
CERS5,(15-30),0.25799214327224124,0.2662963980178112,135,314,0.00830425474556995
CERS5,(30-60),0.25799214327224124,0.26840521580868043,83,216,0.010413072536439194
CERS5,(60-100),0.25799214327224124,0.2849444465286117,13,34,0.026952303256370436
CERS5,(100-250),0.25799214327224124,0.2960104875283447,3,11,0.038018344256103453
ID1,(0-15),0.32833837168305036,0.3105007783117034,88,203,-0.017837593371346938
ID1,(15-30),0.32833837168305036,0.3379876413802506,134,309,0.009649269697200258
ID1,(30-60),0.32833837168305036,0.34654132739966403,78,204,0.018202955716613678
ID1,(60-100),0.32833837168305036,0.3543228178368119,13,34,0.025984446153761553
ID1,(100-250),0.32833837168305036,0.3685483870967742,2,8,0.04021001541372382
ZNF623,(0-15),0.19462156468983757,0.12741141590893268,58,101,-0.0672101487809049
ZNF623,(15-30),0.19462156468983757,0.21411866225019408,125,267,0.019497097560356502
ZNF623,(30-60),0.19462156468983757,0.21387721065548557,82,213,0.019255645965647994
ZNF623,(60-100),0.19462156468983757,0.2215222704464261,13,34,0.02690070575658854
ZNF623,(100-250),0.19462156468983757,0.2677799823633144,3,12,0.07315841767347683
NKX3-1,(0-15),0.14153288424786584,0.14101460634876217,93,203,-0.0005182778991036641
NKX3-1,(15-30),0.14153288424786584,0.15741060102060683,137,308,0.015877716772740996
NKX3-1,(30-60),0.14153288424786584,0.15685692257828396,85,212,0.015324038330418122
NKX3-1,(60-100),0.14153288424786584,0.19491202511573813,13,34,0.05337914086787229
NKX3-1,(100-250),0.14153288424786584,0.24983797624359935,3,10,0.10830509199573352
CHEK1,(0-15),0.19513361229434442,0.18945668020010764,90,403,-0.005676932094236781
CHEK1,(15-30),0.19513361229434442,0.19591931651957115,134,608,0.0007857042252267243
CHEK1,(30-60),0.19513361229434442,0.2019329179013392,81,416,0.0067993056069947655
CHEK1,(60-100),0.19513361229434442,0.21129723414617232,13,68,0.016163621851827903
CHEK1,(100-250),0.19513361229434442,0.22215627424674578,3,23,0.027022661952401356
CGGBP1,(0-15),0.35053186981222917,0.34189041224646133,93,119,-0.00864145756576784
